Subject,Discipline
Agricultural Economics,Agricultural Sciences;Economics
Agricultural Sciences,"Agriculture, Forestry, Horticulture"
Animal Breeding and Animal Products,"Animal Husbandry, Breeding and Hygiene"
Animal Health and Pathology,Veterinary Medicine
Arts and Humanities,Humanities
Astronomy and Astrophysics,Astrophysics and Astronomy
Biodiversity and Ecology,Ecology
Business and Management,Business and Management
Chemistry and Chemical Engineering,Chemistry
Chemistry,Chemistry
Climate,Earth and Environmental Science
Computer and Information Science,Computer Science
Computer Science,Computer Sciences
Earth and Environmental Sciences,Geosciences
Economics,Economics
Engineering,Engineering Sciences
Farming Systems and Practices,Agricultural Sciences;Farming Systems
Fishes and Aquaculture,Aquaculture
Food and food processing,Agricultural and Food Process Engineering
Food Safety and Toxicology,Food Safety
Forests and Forest Products,Silviculture
Genetic Resource,General Genetics
Human Health and Pathology,Pathology and Forensic Medicine
Human Nutrition and food security,Nutritional Sciences
Information management,Information Science
Insects and Entomology,Zoology
Land Use,Environmental studies and forestry;Land Use
Law,Jurisprudence
Material Science and Engineering,Engineering
Mathematical Sciences, Mathematics
Health and Life Sciences,Life Sciences
Microorganisms,Microbial Ecology and Applied Microbiology
Omics,Biology;Omics
Physics,Physics
Plant Breeding and Plant Products,Plant Science
Plant Health and Pathology,Plant Science
Rural and Agricultural Sociology,Agricultural Sciences;Social Sciences
Social Sciences,Social Sciences
Soils and soil sciences,Soil Sciences
Water resources,Hydrology and Hydrogeology
